model_task_method,conversation_number,response,coherence_1_incoherent_10_very_coherent
td3_cw_manual_few_shot_responses,42,"Anne had recently gone through a difficult breakup and was feeling very lost and lonely. She had looked into therapy, but found it prohibitively expensive. Then a friend suggested that she go away on a solo trip to clear her head. She quickly booked a ticket to Rome and left the very next day. She traveled because it cost the same as therapy and was a lot more enjoyable.
Anne immersed herself in the sights and sounds of Rome. She met interesting people and explored the ancient ruins. She even found part-time work in a cafe to help pay for her expenses. She soon regained her self-confidence, and left the city with a newfound sense of purpose.
On the way back home, she was stopped at the airport by customs officials. They told her that she was wanted for the theft of a large sum of money. Anne was horrified. She had been framed! She knew that she would spend years behind bars if she didn't do something drastic. So, with heavy heart, he decided to fake his disappearance and hope that the theft charges went away.",3
td3_cw_manual_few_shot_responses,43,"The villagers had known the weather was going to get bad, but they never expected the sudden rainstorm. It was far too powerful for anyone to have predicted. The local riverbanks quickly swelled up and overflowed. The rushing waters washed crocodiles into the ocean.
Frightened, the villagers evacuated their homes and watched the destruction from a safe distance. The cause of the disaster was a mystery, but no one was willing to get close enough to investigate. In the chaos, she noticed a lone figure standing on the beach. He was very still, but his body seemed to be fiercely tense. He wore mirrored sunglasses, so she couldn't read his expression. She wondered what his eyes were saying beneath his mirrored sunglasses.",3
td3_cw_manual_few_shot_responses,48,"John had reservations at a beach-side restaurant for his family reunion. But with the brisk winds blowing, and the threat of rain, he decided to have a picnic on the beach instead. He began unpacking the picnic basket, and quickly realized his mistake. He should have brought umbrellas and stuck to the indoor location at the restaurant. They wouldn't be able to enjoy the outdoor meal they had planned. He learned the important lesson that a picnic at the beach on a windy day is a bad idea.
John's nephew, Lucas, brought along his new puppy, a Great Dane. The giant dog looked more like a horse than a dog with its long legs and powerful body. Lucas was proud of his new pet, and was excited to introduce him to the family. Despite the failed picnic, Lucas and the dog had a great time.",8
td3_cw_manual_few_shot_responses,50,"My family and friends never quite understood my interest in philately - the hobby of collecting post stamps. They had no idea why I would pay hundreds of dollars on a rare stamp, and why I spent so much time researching the history and origin of the stamp. Even when I tried to explain the significance of certain stamps to a wider audience, most people just weren't interested. My secretary is the only person who truly understands my stamp-collecting obsession.
When I told her that my stamp collection would be bequeathed to a museum, she was the only one who showed genuine enthusiasm. She really believed in my hobby, and I had no doubt that she was going to be my most committed supporter. She was the one who suggested that I create a blog around my stamp collection. The idea kind of excited me, but I was still hesitant. With her encouragement, I decided to take the plunge and created a blog with high-quality pictures and detailed descriptions of the stamps I had collected. I still remember the sheer joy I felt when I published my first post. Instead of a bachelorette party, she said, just go ahead and press that button.",7
td3_cw_manual_few_shot_responses,52,"Matt had been dreading the final exam all semester, but he had a plan to make sure he passed. He had created a research paper based on a topic of his choosing and submitted it to his professor. This was worth a portion of his grade, and he knew if he wrote an exceptional paper he may be able to save his grade. He spent days poring over research books at the library; he had assembled evidence from various sources that seemed to prove his hypothesis. He turned in the research paper on Friday; otherwise, he would have not passed the class.
The following week, Matt was elated to hear he had received an A+ on his research paper. To celebrate, he decided to go to the farmer's market for a Sunday picnic with his friends. He was looking for something to bring with him when he decided to buy a basket of tomatoes as an added surprise. Tomatoes make great weapons when water balloons aren't available.",8
td3_cw_manual_few_shot_responses,53,"Nate was stressed from his job as a lawyer at a huge law firm. He was working 12-hour days and was exhausted by the time he finally made it home at night. He had unknowingly taken up sleepwalking as a nighttime hobby. He would often wake up in the kitchen, refilling his water glass, or in the living room, trying to turn on the TV. His wife knew something was off, but couldn't get him to talk about why he was so unhappy.
Nate's true passion had started when he adopted a puppy, and realized how little time he had to give it the things it needed - brushing, bounding around off-leash, and the occasional shampooing. He dreamed of leaving his law firm to open a portable dog wash, where he would drive to his clients' houses and give their pup the attention it deserved. He was excited and motivated, eager to make a real difference in his life and in the lives of the dogs he would be able to care for. He dreamed of leaving his law firm to open a portable dog wash.",8
td3_cw_manual_few_shot_responses,54,"My friend David is strange to say the least. He chose a pet snake back in grade school and now that snake, Jigg, is just as much a part of David's extended family as his two brothers and three sisters. It's a fact that Jigg loves to sing and dance and David always said he could feel the beat. So, it's no surprise that after graduating high school, David and Jigg went on tour with a very famous boy band! He's in a boy band which doesn't make much sense for a snake.
I have my own pet story, too. My parents bought me a turtle named Fred at the pet store when I was 7. Fred and I quickly grew close, and some days when I came home from school I would swear that Fred was getting smarter. He had a habit of watching me, as if he were trying to understand what I was thinking. I was starting to worry that my pet turtle could tell what I was thinking.",9
td3_cw_manual_few_shot_responses,56,"Amy was on her way to the bank with her friend, Katherine, in a borrowed black convertible. The sun was shining and the scenery was beautiful as they drove along the winding road. Amy had her hair down and the wind was blowing through it, making her smile and feel alive. She didn't care that her hair was becoming a bit tangled. It was a small price to pay for the excitement and joy of the ride. Her hair was windswept as she rode in the black convertible.
After their stop at the bank, they decided to pick up some lunch at the diner down the street. While eating their burgers, Katherine and Amy started talking about their dreams and desires. Katherine's was to own a fashion boutique, and Amy's was to have her own business. She mentioned she was thinking of starting a cactus farm. Katherine thought it was a silly idea, but Amy insisted it could be profitable. She had done some research and was excited to give it a try. His get rich quick scheme was to grow a cactus farm.",6
td3_cw_manual_few_shot_responses,60,"When I got engaged, I wanted to do something a little different for my bachelorette party. Instead of the usual night of drinking and dancing with my female friends, I decided to go on a camping trip with a few of my closest friends, both male and female. I thought it would be a great way to celebrate my upcoming marriage and spend some quality time with my friends before the big day. We set up a campfire, cooked s'mores, and told stories while the stars sparkled in the sky above us. It felt like a special and magical night.
The hawk perched in a nearby tree, watching us as he often did. He didn't understand why the ground squirrels didn't want to be his friend. Every time he tried to communicate with them, they scattered in a panic. He flew away from the camping site, still confused as to why the squirrels acted so strange.
Back at home, my secretary noticed my new collection of stamps. She smiled, knowing how passionately I enjoyed collecting them. She had been a great help in researching and finding rare stamps for me over the years. My secretary is the only person who truly understands my stamp-collecting obsession.",4
td3_cw_manual_few_shot_responses,61,"My stomach growled with hunger as I looked up from my desk and saw my Dad with another can of soda in hand. He drank it by the gallon, never ceasing to make jokes about his addiction and the reality that his body almost entirely depended on it at this point. I can't help but feel guilty about it, knowing that he kept running back to the fallen angel even after he had promised himself time and time again that he would quit. For the 216th time, he said he would quit drinking soda after this last Coke.
Moments later, I heard a loud crash originating from the garage downstairs. I rushed down to the scene to find the damaged garage door with my car a few feet away from it. I could see that my Dad was standing in front of the door, but I couldn't make out the words he was saying. It didn't take me long to figure out what had happened - the car, driven by Dad, had charged head on and straight into the door. I felt a mix of guilt and disbelief and I quickly looked away. Today arrived with a crash of my car through the garage door.",8
td3_cw_manual_few_shot_responses,63,"Gwen had grown impatient with life. Her days seemed to pass by in a blur of mundane tasks, her leisure time wasted on meaningless pursuits. Taking stock of her life, she decided that if she was going to be content, she needed something greater than the dull, comfortable life she had gotten used to. She wanted to become a risk-taker and adventurer. A glittering gem is not enough; Gwen wanted danger, chaos and an exhilarating ride.
Still, Gwen wasn't prepared for what lay in wait. Her first challenge was to sleep on her new bed of nails. When she took her first steps towards the bed, her head was filled with self-doubt. What if the nails punctured her? But as she lay on the bed, she realized that the pain was subset of a much greater experience. The feeling of bravery and courage she had was unlike anything she'd ever felt before. Gwen had her best sleep ever on her new bed of nails.",6
td3_cw_manual_few_shot_responses,68,"The island had been a peaceful place ever since the shores were fortified. The locals were relatively safe from any outside danger, and made a comfortable living from trade and fishing. All of that changed when a large rainstorm proved to be too much for the fortifications. The sudden rainstorm washed crocodiles into the ocean, and they terrorized the islanders for weeks. The locals had to flee for their lives.
The crocodiles were eventually defeated and the locals returned, albeit more wary. Some sought to restore the fortifications, while others formed a militia to guard against any further invasions. Rather than resorting to permanent measures, I suggested that they paint the walls with a special brand of paint, one that was advertised to repel all kinds of invasive species. Everyone was enthusiastic about the idea and we soon gathered the supplies. We followed the directions precisely, dipping our brushes into the paint buckets and working in unison. Strawberries must be the one food that doesn't go well with this brand of paint.",3
td3_cw_manual_few_shot_responses,71,"Max had been an attorney at the same law firm for nearly a decade. He was looking for a way to break from his current monotonous routine. After joking with a few colleagues about his dream of starting a portable dog wash business, one of them suggested he take his idea more seriously. He had always been a dog-lover, and he could put his legal mind to use to help him plan the logistics of the venture. He started devoting time to researching the industry, its potential profits, and the best way to put his plans into action. He dreamed of leaving his law firm to open a portable dog wash.
I'm what some people would call a ""warm person"" - I never get cold, no matter what the weather. There was a time in college when I intentionally sat outside in sub-zero temperatures just to test my theory. Sure enough, I didn't feel a thing. Nowadays, I keep myself toasty without ever needing to bundle up. On cold days, I can spot me in a busy cityscape because of my clear lack of winter apparel. I'm a living furnace.",1
td3_cw_manual_few_shot_responses,72,"My college roommate, Gwen, had recently moved in with us and we quickly became great friends. She was daring, adventurous, and always had a wacky new plan, like driving cross-country with her other roommate, Bryce. Bryce's lack of recklessness made Gwen look sane by comparison; it was always dangerous to drive with him since he insisted the safety cones were a slalom course.
Gwen days were always filled with chaos, but winding down at her place was always very fun. Gwen had an array of relaxation devices - noise-canceling ear muffs, a heated masseuse chair, and a bed of nails - all of which she had acquired over the summer on deep discount. On her first night at the apartment Gwen decided to try to it all out - so she spent the night vlogging with the earmuffs, listening to a podcast while in the massage chair, and of course, softly snoring on her new bed of nails. Gwen had her best sleep ever on her new bed of nails.",6
td3_cw_manual_few_shot_responses,73,"David had been fighting against his own thoughts for weeks. He had been feeling overwhelmed by negative thoughts and emotions which seemed to be growing stronger each day. He felt like his mind was a dungeon and he was trying to stop these thoughts from entering. He was trying to fill the entrance with rock to keep the darkness away. So he poured rocks in the dungeon of his mind, hoping against hope that it would shut the door off to his inner demons.
He tried to distract himself with activities throughout the days, mostly trying to stay busy with things that he enjoyed. He did everything from jogging to baking just to pass the time. He even tried to find new hobbies and activities that he hadn't done in the past. He discovered that tomatoes make great weapons when water balloons aren't available. He would sneak to his neighbor's backyard and steal tomatoes to throw at the trees. It was a harmless activity, but it served to break free from his own thoughts for a little while.",6
td3_cw_manual_few_shot_responses,75,"William was a deep thinker, and had been since he was quite young. Often times this lead to over-analyzing situations and over complicating simple tasks. His thought process was on so many levels that he gave himself a phobia of heights. Even the thought of a plane ride filled William with dread.
Though William hated the idea of heights, he was a great problem solver. He loved taking on puzzles and riddles-anything that needs to be figured out. He applied this same skill to situations that he and his peers might find mundane. As an example, when confronted with a rotary dial phone the teenager was perplexed, having never seen such a device before.",2
td3_cw_manual_few_shot_responses,77,"Scott had been fascinated with the idea of flight since he was a child. He would read non-stop about the physics of creating lift and devise various contraptions to test his theories. His thought process was on so many levels that he gave himself a phobia of heights.
Things changed one day when met a group of like-minded people who were into flying and aviation. They saw Scott's inherent potential and encouraged him to pursue his dreams. He worked hard and was soon certified to fly small aircraft. Now Scott could go up and explore the world in a way he had never done before.
However, when he desired to go places, airline tickets were a bit expensive. He remembered that I had a friend in high school named Rick Shaw, but he was fairly useless as a mode of transport.",2
td3_cw_manual_few_shot_responses,78,"Larry had grown up in the city and moved out to the country for a change of pace. He'd heard stories of the beautiful beach down the road and was excited to check it out. When he arrived, he was disappointed when he found the beach to be so sandy and the sun so sunny. He hadn't expected it to be so hot and the sand to be so abrasive. He was about to turn around and leave when he remembered the myth his great-grandfather used to tell him about buried treasure in the area.
Larry decided to start digging. He dug and dug until he eventually hit something hard. After a bit more digging, he'd uncovered an iron chest full of gold coins and jewelry. Despite the thrill of his find, he was hesitant to accept it, knowing that it would likely be reported to the authorities. He was about to bury the chest again when he had an idea: he decided to fake his disappearance to avoid jail.",5
td3_cw_manual_few_shot_responses,80,"Jen spotted the stranger from across the street. He was tall, mysterious and dressed in black from head to toe. Even his sunglasses had a mirror finish, and she could not make out the expression behind his eyes. Heading closer, she could feel a cold chill shiver up her spine. She wondered what his eyes were saying beneath his mirrored sunglasses.
He stood next to her, arms behind his back, silent and still. She already knew she was going to be in trouble if he had sinister intentions, and she felt a hint of danger in the air. Jen was about to speak up when he suddenly inquired about the idea of a business venture. You're unsure whether or not to trust him, but very thankful that you wore a turtle neck.",3
td3_cw_manual_few_shot_responses,81,"For Mark, it all started when he was jumping from parachutes. On one of his jumps, he thought he was in line to hit the ground. He closed his eyes and braced for the impact of the fall, but he landed safely. The near-death experience brought new ideas to light.
When he finally came to his senses, he realized he was facing a world of possibilities. He wondered how he got there, why he desired to jump from planes in the first place and what it all meant. He thought deeply about the situation and his newfound understanding of life. His thought process was on so many levels that he gave himself a phobia of heights.",8
td3_cw_manual_few_shot_responses,87,"Lilly was a quiet, introspective woman who spoke few words. She often found herself in situations where she had to fend off unwanted advances from people she didn't particularly like. In order to politely rebuff them without offending them, she began searching for a different way out. She stumbled across sign language and knew instantly that she had found her answer. When she didn't like a guy who was trying to pick her up, she started using sign language.
Her newfound skills were to be put to a more serious use when she started college. She found it difficult to understand all of her topics and often forgot things she needed to do. She decided to join the sign language club so she could practice daily, and it changed her life. She managed to study more efficiently and even find interesting topics to explore. Her newfound sign language skills even came in handy when she had to write a research paper for her English class. He turned in the research paper on Friday; otherwise, he would have not passed the class.",3
td3_cw_manual_few_shot_responses,88,"When my friend asked me to help him build a go-kart, I was more than happy to oblige. We worked together for hours. He researched how to construct a frame out of PVC pipes and bought all the necessary supplies. After double-checking the design, he was ready to paint it. He had bought some bright blue paint which he intended to use, but I had another idea. I decided to cover him and the go-kart completely in baby oil so that the sun's rays would reflect off of the frame and cause it to glitter. After a thorough coating, we stepped back and marveled at our creation. I covered my friend in baby oil.
We both agreed that this was the perfect finishing touch for our go-kart. It was unique and eye-catching. While we had followed all safety guidelines and the go-kart could have been used safely, a small rabbit hopped in to use as a makeshift vehicle. We both chased after it but it was too quick for us. As a precaution, my friend wrote ""No riding"" on a piece of cardboard and tied it to the ride's handlebars. Written warnings in instruction manuals are worthless since rabbits can't read.",2
td3_cw_manual_few_shot_responses,90,"I came across a lake on my hike in the woods that was a strange, deep red. I had heard stories about lakes like this, but this was my first time seeing it in person. I was apprehensive about going any closer to it, but curiosity got the better of me and I decided to take a closer look. I tested the water with a stick, and found it to be surprisingly warm, yet still safe for drinking. Just because the water is red doesn't mean you can't drink it.
As I went around the lake, I saw a glimmer of something in the mud. At first, I thought it was a coin, but turned out to be a book with an oddly familiar title written on its spine. I must admit, I felt a bit hesitant about touching it for some unexplained reason, but I reached down and picked it up out of the mud anyway. The book is in front of the table.",3
td3_cw_manual_few_shot_responses,94,"The Netflix series ""Stranger Things"" completely blew away any expectations that viewers had. The combination of suspenseful plotlines, detailed characters, and special effects were enough to make even the most skeptical viewers rapturous with enthusiasm. A glittering gem is not enough to describe the show's success; it was the perfect storm of storytelling, visual effects, and just a touch of nostalgia.
I was one of those viewers who stood in awe of the show's first season, eagerly waiting for the second season to begin. But when it did, I was a bit disappointed. I didn't think the writers and creators had done a good job of developing the plot and characters from the previous season. Honestly, I didn't care much for the first season, so I didn't bother with the second.",3
td3_cw_manual_few_shot_responses,95,"The new TV show had been airing on all the major networks. Everyone was talking about it, and all my friends seemed to think it was the best show ever made. I decided to give it a try and watched the pilot episode. It wasn't bad, but I wanted something with more action and suspense. I was looking for something more thrilling and I didn't feel like this show gave that to me. Honestly, I didn't care much for the first season, so I didn't bother with the second.
On the other side of town, Hannah was buzzing with excitement over the show. She had made a bet that she would finish the entire series in one night. So she went out and rented a convertible for the night. It was a special night, as she had the whole city to herself. She blasted the radio and drove around with the wind in her hair. She made it to the end of the season and won the bet. Her hair was windswept as she rode in the black convertible.",2
td3_cw_manual_few_shot_responses,98,"Though James had been diligently working on his research paper for the entire semester, he had procrastinated too much. The paper was due for Monday morning, and he still had not completed it. He worked tirelessly all weekend to make sure his paper was perfect, despite his growing anxiety. He turned in the paper on Friday; otherwise, he would have not passed the class.
James was nervous but cautiously optimistic that he did enough to pass the class and get his degree. He received his graded paper back in the mail a few weeks later with a passing grade, but with several notes for corrections. He was relieved but didn't feel like celebrating yet. His grade still had to make it through the committee, which would mean making popcorn and waiting. It's never comforting to know that your fate depends on something as unpredictable as the popping of corn.",2
td3_cw_manual_few_shot_responses,99,"I had been told that animals can sense the emotions of their owners. I had no proof that this was true, but lately, I'd noticed my pet turtle seemed to act differently around me. Whenever I was deep in thought, he watched me intently, as if he could hear my inner thoughts. I started to worry that my pet turtle could tell what I was thinking.
I was also worried that my pet turtle was getting ill. He had been spending a lot of time in his tank, but the water had recently turned an ominous red color. I asked a veterinarian for advice, and their response was not something I was expecting. They said that I shouldn't worry, and that red dye had been added to certain species of turtles' tanks to help with their shedding process. I remembered their words: ""Just because the water is red doesn't mean you can't drink it.""",8
td3_cw_manual_few_shot_responses,100,"I'm an expert in many areas, most notably in public speaking. I have a knack for connecting with an audience through my words and passion, and that ability has helped me advance in my career. People seem to be drawn to my energy and enthusiasm, and I love to share my knowledge with anyone who listens. I'm a living furnace; my passion for teaching others is never ending.
Being passionate, however, can have its drawbacks. Not everyone can handle the intensity that I bring to the table. This is something that I've learnt to live with, but over the years I have found that cultivating relationships with certain people can be difficult. To navigate these situations, I've adopted a more cautious approach when meeting new people. There's a reason that roses have thorns; making emotional investments requires some kind of protection.",7
td3_cw_manual_cot_responses,2,"Ideas:
1. Make the passage about an isolationist person empathizing with a hawk who isn't socially accepted.
2. Make the passage about a person who also experiences rejection in social situations; as they watch the hawk they recognize a similar mentality with themselves.
3. Make the passage about a person watching an old friend who has been unable to make more connections in life - as they watch their friend, they realize the same wisdom applied to their own experiences.
Passage:
The hawk flew down to the park, looking for potential friends. He had heard about groups of ground squirrels that usually hung out along the bushes, and he was excited to join in the conversation. As he glanced around, he realized that none of the other birds were talking to them. He couldn't understand why the ground squirrels didn't want to be his friend. He stayed nearby, trying to figure out what the problem was.
As I watched the hawk, I realized that I could relate to his struggle. The same stories seemed to happen to me - I rarely get invited to hang out with other people or groups, and I occasionally feel like I'm on the outside looking in. I used to let these rejections affect how I saw myself. But with a newfound perspective, I realized that I shouldn't care about the opinions of others. If I don't like something, I'll stay away from it.",6
td3_cw_manual_cot_responses,5,"Ideas:
1. Make the passage about a grandmother and grandson visiting a hospital and the ways in which they find to keep themselves entertained.
2. Make the passage about a nephew visiting his uncle at a hospital to help keep his morale up.
3. Make the passage about a young couple visiting a hospital and the ways in which they cope with the situation.
Passage:
Grandpa Joe was in the hospital, and it was taking a toll on him. He was bored, and I wanted to do something to help. I remembered my last trip to the beach with Joe, and how he made an amplifier out of a traffic cone. So I ran to the closest hardware store and bought a couple of cones. When I came back to the hospital, Joe was in his bed in the room, looking bored and a bit down.
I presented the cones to Joe, and his eyes lit up. He had been trying to make a megaphone for weeks, and he was overjoyed that I had figured it out. He tinkered with the cones for hours until he had created a perfect megaphone. Joe tested it by making announcements in the hallway, much to the surprise of the other patients and nurses. Joe discovered that traffic cones make excellent megaphones.
You realize you're not alone as you sit in your bedroom massaging your calves after a long day of playing tug-of-war with Grandpa Joe in the hospital. Through this, you found a distraction from the overwhelm of worry and uncertainty, just like Joe had.",4
td3_cw_manual_cot_responses,8,"Ideas:
1. Make the passage about someone visiting their grandmother in hospital who decides to honor her by playing a game with an elderly patient in the hospital.
2. Make the passage about a person who gets into an altercation during a family reunion, and how that altercation follows them home.
3. Make the passage about a person who works in a difficult role at a hospital and the intricacies involved in their day.
Passage:
The hospital had been my home away from home for the past year. I was a Care Navigator, helping my elderly patients find support systems, health screening programs, and other services. It was a difficult job, but I had a special connection with some of my Grandparents - like Grandpa Joe.
Every Wednesday I would spend some extra time with him and we would play tug-of-war. It was silly, I know, but it felt like home for both of us. To him it was a reminder of his past experiences with his own Granddaughter, and to me it reminded me of my own Grandmother in the other wing. We brought out the best in each other, likely without realizing. You realize you're not alone as you sit in your bedroom massaging your calves after a long day of playing tug-of-war with Grandpa Joe in the hospital.
Today arrived with a crash of my car through the garage door. I was startled, but not surprised by the events that led to it. We had another family reunion - a heated one in which I found myself in the middle of it all. I had returned home, hoping to find enough serenity to calm my jittery nerves. I was exhausted, emotionally spent. Yet the events of the reunion had followed me home like a dark shadow.",3
td3_cw_manual_cot_responses,9,"Ideas:
1. Make the passage about an unfortunately-accused clown who has decided to 'disappear' to avoid benefits fraud charges.
2. Make the passage about a corporate clown who uses humour to lighten the mood in difficult business meetings.
3. Make the passage about a travelling clown who has to juggle the demands of his profession with those of everyday life.
Passage:
Geoffrey had always been that kid in school who was the class clown. Friends and family had come to expect funny antics from him whenever he was around. He had even kept up his clowning career when he reached adulthood, and had made a living out of it for the last few years. His life was simple, but he was happy.
Until a few weeks ago, when he had been confronted by government officials. Apparently, he had been committing some kind of fraud, not with his clown business but with his benefits. He had no other choice to avoid jail time, so he decided to fake his disappearance. Geoffrey had completely cut off contact from family and friends, and couldn't even enjoy performing as the clown he was. He was all business when he wore his clown suit.",3
td3_cw_manual_cot_responses,15,"Ideas:
1. Make the passage about a family who is building an undersea aquarium in their home.
2. Make the passage about a person who moves from the city to the sea shore who is shocked by the sheer amount of sun and sand.
3. Make the passage about a person who discovers a fabled city made of glass and how he's disappointed with what he finds.
Passage:
Jack was always fascinated by the tall tales of travelers that talked about visiting a hidden city made of glass. When he was finally able to visit the city himself, he was so elated - almost dizzy with excitement - he couldn't contain himself. He had always dreamed of such an opportunity and so he packed his bags and went in search of this fabled land.
When he arrived, however, he was sorely disappointed - there were only a few structures made of glass, and most of them were creations of his own. He had always thought the city to be much bigger and the structures much more remarkable. He was disappointed when he found the beach to be so sandy and the sun so sunny.
Upon returning home, Jack was determined to have his own city of glass. So he searched through garage sales and scrap yards and found incredible amounts of glass, enough to build his own undersea aquarium in his kitchen. There's probably enough glass in my cupboard to build an undersea aquarium.",3
td3_cw_manual_cot_responses,16,"Ideas:
1. Make the passage about a street artist who visits space and is confused by what he finds there.
2. Make the passage about a tourist who comes across a busker in a foreign country and the peculiar things the busker does.
3. Make the passage about a space mission gone wrong where the astronaut experiences odd sensations in space.
Passage:
The astronaut felt something he had never felt before. He had gone to space many times, but this was something new - he could smell it. He pulled his helmet off and, to his surprise, he smelled seared steak. It caught him off guard that space smelled of seared steak.
He made his way back to the ship, taking in the strange new smell one last time before closing the entry hatch. As he untied himself from his seat, he thought about the significance of this mission and why he had been chosen for it.
Back on the ground, he couldn't help but reinvigorate himself in the vibrant culture of his home city. As he passed by a busy street corner, a busker had set up shop. He had the most peculiar instruments, and as the busker filled the air with music, he sung out in a powerful voice. The busker hoped that the people passing by would throw money, but they threw tomatoes instead, so he exchanged his hat for a juicer.",4
td3_cw_manual_cot_responses,17,"Ideas:
1. Make the passage about a family that wants to go out for ice cream and ends up going to the beach instead.
2. Make the passage about a family on vacation whose plan of enjoying ice cream fails as the store they go to does not have ice cream.
3. Make the passage about a family that decides to go to the beach, but finds out the beach does not have any food stalls.
Passage:
The summer sun was making the air thick and muggy, so the family decided to treat themselves to some ice cream. They all walked to the nearest store, but they were disappointed to discover that the store had no ice cream. There was no ice cream in the freezer, nor did they have money to go to the store. Disappointed, they set off to the nearby beach to cool off.
The beach was crowded, but they managed to find an empty spot to set up their beach towels. The waves were crashing on the shore; it was a lovely sight. Everyone started taking off their clothes to enjoy a refreshing swim. The family laughed as the cool water touched their hot skin. Suddenly, the advantages of not having ice cream hit them - they were in the perfect place to cool off!",4
td3_cw_manual_cot_responses,20,"Idea:
Make the passage about a middle-schooler's creative attempts to make a project look better.
Passage:
Joe had been trying to come up with better ways to make his art project stand out from the others. He had spent hours scouring the house and the local shop's shelves, looking for anything that could make his project look better. His brother, a master DIYer, had suggested a coat of paint for the project. It seemed like a great idea at the time, but shortly after Joe started painting, he realised he was short of paint. He searched through the kitchen cupboards but found nothing useful, until he spied a packet of strawberries in the fridge. He decided to grind them up and see if that would work. Strawberries must be the one food that didn't go well with this brand of paint.
Discouraged by the mess he had made of the project, Joe started to look around for other things that could help him. He got an idea when he noticed the traffic cones lying around in the street outside his window. Intrigued by the shape of the cone, he brought one to his room to conduct a few experiments. After a few failed attempts, he discovered that traffic cones make excellent megaphones. Joe quickly used his newfound gadget to amplify his message to the world: art is everywhere.",4
td3_cw_manual_cot_responses,21,"Ideas:
1. Make the passage about a woman who sold her possessions and decided to travel around the world
2. Make the passage about a woman who, after a break up, decided to embark on a road trip in borrowed car
3. Make the passage about a woman who took a gap year to travel after college
Passage:
Joanna had been feeling a bit uninspired lately. She had been toying with the idea of selling her possessions and traveling the world. Now, she was sitting in the passenger seat of a borrowed convertible with the wind blowing in her hair. She grasped the moment and took a deep breath.
The feeling of freedom overwhelmed her. She had put in her two weeks' notice for her 9 to 5 job and packed her suitcase with all essentials - a passport and a change of clothes. She decided to explore all the corners of the world. She traveled because it cost the same as therapy and was a lot more enjoyable.  She had lost track of time and the monotony of her day job was growing more distant. She was feeling more alive and energized from one adventure to the next. Her hair was windswept as she rode in the black convertible.",3
td3_cw_manual_cot_responses,23,"Ideas:
1. Make the passage about a young girl who won a poetry competition but finds nobody to call or share the news with.
2. Make the passage about a young girl who gets frustrated by the lack of wonder other people see in the world around them.
3. Make the passage about a young girl who has a secret only she knows and is looking for somebody else to share it with.
Passage:
Ruby was walking along the riverbank, admiring the beauty of the landscape. All that surrounded her was breathtaking. She could see the soft pink and yellow of the evening sky, wisps of cotton candy clouds slowly drifting across the night. It was enough to make anyone believe in magic, she thought to herself.
But such quiet moments, such seemingly-magical moments, were always best enjoyed alone. She had some amazing news to share, but nobody to share it with. She had won the school poetry competition, but upon hearing the news, her parents were too busy to let her grand excitement show. It made her sad, that people couldn't make the time to admire all of the beauty the world has to offer. She couldn't understand why nobody else could see that the sky is full of cotton candy.",2
td3_cw_manual_cot_responses,24,"Ideas:
1. Make the passage about a mail courier who travels around different parts of the desert, even past the city.
2. Make the passage about a tech entrepreneur who is trying to elevate the fortunes of his desert town.
3. Make the passage about a desert animal community trying to survive the summer drought.
Passage:
The summer sun shone heavily upon the dry desert landscape. It was difficult to move across the land, and wildlife, including a mongoose, was forced to resort to desperate strategies. Hitchhiking was his only means of transportation until he saw a patch of paint in the distance. As the vehicle drew closer, he could make out its shape - the familiar body style and bright color belonged to the blue parrot. The trusty mail courier had been delivering supplies to the residents of the nearby town for months. The mongoose couldn't help but wave as it drove by.
Back in the town, there was another animal who didn't need to look so far for transportation. Jackalope, a desert jackrabbit, had struck it big a few months ago with the tech startup he created. He had plenty of money and resources to get around now. With a newfound passion for entrepreneurship, he thought of ways to help out others who weren't as fortunate as him. His get rich quick scheme was to grow a cactus farm, to provide an income for the animals of the desert. He was excited for the future, and was told his idea could change the face of the entire region.",3
td3_cw_manual_cot_responses,26,"Ideas:
1. Make the passage about a person who survives a situation of extreme cold, and who discovers something about themselves in the process.
2. Make the passage about a person who survives a near-death experience and undergoes some form of spiritual transformation.
Passage:
Andy was going for a leisurely evening walk when the temperature dropped dramatically. He was caught unprepared and soon started to feel the effects of cold-induced hypothermia. He was shivering so much that he wasn't sure how he could make it back home. But he knew he had to keep going and push through the cold. He thought to himself, ""I'm a living furnace; I can make it through this.""
As Andy faced certain death if he remained exposed to the cold, a newfound inner warmth suddenly swept through his body. This warmth was something he had never experienced before and it was a complete contrast to his current icy surroundings. He took this as a sign and kept pushing forward. The near-death experience brought new ideas to light. He now believed that he had the power to make his own destiny. He felt more hopeful and determined than ever to get home and start putting his newfound insights to work.",6
